レース名,区分,小見出し,結論,source
ウィクトリアマイル,消し,種牡馬別 匠馬芝重賞成績(複勝率順),各種牡馬の1～2～3～着外、勝率、連対率、複勝率、Vマイル通算成績、出走産駒の一覧が記載されている。,2026-06-20_19-17-07.pdf
オークス（優駿牝馬）,買い,キャリア別成績,キャリア4戦が5勝&3着以内11頭、5戦は1勝だが3着以内11頭。3戦の優勝馬は2頭とも無敗、6戦以上は好走率が愕然と落ちる。,2026-06-20_19-17-20.pdf
オークス（優駿牝馬）,買い,前走着順,前走1着馬が圧倒,2026-06-20_19-17-20.pdf
オークス（優駿牝馬）,消し,种牡馬別成績,ハービンジャー産駒が12頭中4頭、エピファネイア産駒が6頭中2頭好走だが、危険な種牡馬がルーラーシップ・キズナ・キタサンブラック。特にキタサンブラックは上位人気2頭とも4着以下。,2026-06-20_19-17-20.pdf
オークス（優駿牝馬）,消し,馬体重,危険な458キロ以下,2026-06-20_19-17-20.pdf
オークス（優駿牝馬）,消し,前走着差,低好走率の敗戦0.3秒以上,2026-06-20_19-17-20.pdf
日本ダービー（東京優駿）,買い,キャリア別成績,4 & 5 戦が中心,2026-06-20_19-17-30.pdf
日本ダービー（東京優駿）,買い,種牡馬,サンデー系列に注目,2026-06-20_19-17-30.pdf
日本ダービー（東京優駿）,消し,枠番,人気薄好走も多い1枠重視,2026-06-20_19-17-30.pdf
日本ダービー（東京優駿）,消し,厩舎,危険な4厩舎,2026-06-20_19-17-30.pdf
日本ダービー（東京優駿）,消し,前走着差&着順,低好走率の0.6秒以上&6着以下,2026-06-20_19-17-30.pdf
安田記念,買い,性別 7年連続好走の牝馬,牝馬は86〜17年の32年間で4勝&3着以内11頭だったが、18年以降の8年間で3勝&3着以内9頭。25年もプレイディヴェーグがクビ差4着。マイル重賞で好成績の牝馬はヒモに入れたい。,2026-06-20_19-17-40.pdf
安田記念,買い,騎手 好調のルメール&川田,川田将雅、武豊、戸崎圭太、池添謙一、柴田善臣、横山典弘、C.ルメール、田辺裕信、坂井瑠星、カタカナジョッキーの10騎手が通算で4勝以上の成績を残している。,2026-06-20_19-17-40.pdf
安田記念,買い,馬体重 好調の480キロ以上,過去10年で6勝&3着以内14頭の馬体重480〜498キロ。過去40年でも14勝&3着以内40頭。480キロ以上は40年中29年で勝利を収めている。,2026-06-20_19-17-40.pdf
安田記念,消し,GI勝利歴 9頭全滅のGI戦,過去10年で朝日杯FS優勝馬が3勝&3着以内6頭、NHKマイルC優勝馬も11頭中3着以内8頭、桜花賞とVマイルなどマイルGI馬が好成績。高松宮記念・大阪杯・皐月賞・オークス優勝馬は凡走。,2026-06-20_19-17-40.pdf
安田記念,消し,前走競馬場 連対皆無の阪神,過去10年で5年で、過去40年中22年で前走東京出走馬が優勝。40年で2勝&2着6頭の阪神出走馬は過去10年で連対皆無。前走ローカル出走馬は中京が40年で4勝を挙げているが、その他は低実績。,2026-06-20_19-17-40.pdf
安田記念,消し,枠番 やや不利な内枠,過去10年で5枠3勝・7枠4勝、8〜8枠は8勝をマーク。過去40年でも1〜4枠16勝&3着以内50頭に対し5〜8枠は24勝&3着以内70頭。ただし上位人気をみると8枠は優勝皆無、6枠1勝。,2026-06-20_19-17-40.pdf
宝塚記念,買い,年齢別成績（過去40年）,4歳21勝、5歳14勝,2026-06-20_19-17-51.pdf
宝塚記念,買い,GI勝利数別成績（過去40年）,信頼度高い4勝馬,2026-06-20_19-17-51.pdf
宝塚記念,消し,厩舎別成績,池江厩舎は低好走率の傾向がある。,2026-06-20_19-17-51.pdf
宝塚記念,消し,種牡馬別成績,ディープインパクト産駒は上位人気馬が多いが、凡走も多々ある。,2026-06-20_19-17-51.pdf
宝塚記念,消し,枠番別成績,4枠と7枠は過去40年で勝利がない。,2026-06-20_19-17-51.pdf
スプリンターズステークス,買い,年齢別成績（過去36年）,4歳が中心で、3着以内の頭数が多い。,2026-06-20_19-18-03.pdf
スプリンターズステークス,買い,前走距離1200m安田記念,3着以内の馬は8勝と多く、前走CB賞組が5頭中3頭が対象。,2026-06-20_19-18-03.pdf
スプリンターズステークス,消し,前走競馬場別成績,中京で3勝、東京・阪神・小倉で2勝ずつ。京都と福島以外の8場に好走率がある。,2026-06-20_19-18-03.pdf
スプリンターズステークス,消し,馬体重増減,優勝無しの馬は4キロ以上減が多かった。,2026-06-20_19-18-03.pdf
スプリンターズステークス,消し,種牡馬別成績,ロードカナロア産駒は15頭で2・3着1頭ずつ。1番人気も25頭中4着以下が多い。,2026-06-20_19-18-03.pdf
スプリンターズステークス,消し,関東騎手騎乗の上位人気馬（過去13年）,グランプリボス、ハクサンムーン、ストレイトガールなどが上位人気馬に含まれている。,2026-06-20_19-18-03.pdf
秋華賞,買い,種牡馬,7頭中4頭好走のハービンジャー,2026-06-20_19-18-24.pdf
秋華賞,買い,キャリア,4勝&3着以内12頭の6戦,2026-06-20_19-18-24.pdf
秋華賞,消し,生産者,危険な社台F上位人気,2026-06-20_19-18-24.pdf
秋華賞,消し,枠番,内枠やや不利,2026-06-20_19-18-24.pdf
秋華賞,消し,前走着順,低好走率の6着以下,2026-06-20_19-18-24.pdf
菊花賞,買い,ルメール 5勝の長距離戦,基本的に「長距離」「高賞金」で高実績。未勝利は高松宮記念、大阪杯、朝日杯FS、チャンピオンズC。,2026-06-20_19-18-34.pdf
菊花賞,買い,種牡馬 サンデー系列に注目,ディープ&ドゥラメンテが合計8勝マークも、26年に2頭の産駒は皆無。ディープ産駒のキズナも2着1頭のみ。,2026-06-20_19-18-34.pdf
菊花賞,買い,厩舎 ベテラン厩舎が好調,厩舎別の通算成績をみると池江・友道・矢作がトップ3。過去10年では友道厩舎が5頭好走、須貝厩舎は5頭全滅。,2026-06-20_19-18-34.pdf
菊花賞,消し,重賞勝利馬 優勝皆無の3レース,過去40年の重賞別優勝馬の菊花賞成績は神戸新聞杯が8勝、皐月賞7勝、弥生賞6勝、日本ダービー4勝（全4頭三冠馬）。,2026-06-20_19-18-34.pdf
菊花賞,消し,枠番 危険な1枠&6枠,枠番別成績は過去10年&40年で2枠がトップ。1枠は近10年で3着以内皆無（上位人気3頭）。近年は7枠が3着以内10頭、4年連続で3着以内。,2026-06-20_19-18-34.pdf
菊花賞,消し,前走騎手 絶対的条件の継続,過去40年の騎手をみると「前走からの継続」が36勝と圧倒的で、乗り替えわりはわずか4勝のみ。「長距離は騎手」と言われる通り、前走からの乗り替えわりは馬の特性が把握できず大きなマイナス。,2026-06-20_19-18-34.pdf
天皇賞（秋）,買い,年齢 3～5歳が中心,過去40年の3着以内数は4歳（19勝）が多い。好走率では3歳が複勝率36%で優秀。,2026-06-20_19-18-47.pdf
天皇賞（秋）,消し,前走競馬場別成績,中山と中京の前走馬場は低好走率であり、過去40年でも中山と中京に勝った馬は少ない。,2026-06-20_19-18-47.pdf
エリザベス女王杯,買い,年齢 4歳が圧倒的,古馬戦となった29年をみると、4歳が13勝。29年で3着以内に入らなかったのは2年のみ。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,廃舎未勝利の友道&中内田,関東馬21勝、関西馬6勝と関西馬が優位だが、15頭出走の友道厩舎は優勢無し。上位人気[0・1・1・2]。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,馬体重 危険な軽量馬,過去29年の馬体重別では460～478キロが14勝&3着以内29頭。440～458キロも3着以内25頭だが、438キロ以下は3着以内10頭。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,前走着順 6着以下是好走率低め,「牝馬は格より状態」と言われる通り、前走順別では1～3着馬が圧倒。4着以下を引き離している。前走で0.5秒差以内の敗戦馬は[18・16・16・144]と巻き返しており、0.6秒以上の敗戦馬は軽視。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,母父クロフネorキングカメハメハの上位人気馬,前走着順別では1～3着馬が圧倒。4着以下を引き離している。前走で0.5秒差以内の敗戦馬は[18・16・16・144]と巻き返しており、0.6秒以上の敗戦馬は軽視。,2026-06-20_19-19-02.pdf
エリザベス女王杯,買い,種牡馬 ダービー好走馬の仔が好調,過去10年の種牡馬別ではダービー連対馬の産駒が好調。ただしロードカナロア、ルーラーシップ、ドゥラメンテを加えたキンカメ系の合計は[2・0・0・18]。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,結論,関東馬21勝、関西馬6勝と関西馬が優位だが、15頭出走の友道厩舎は優勢無し。上位人気[0・1・1・2]。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,結論,過去29年の馬体重別では460～478キロが14勝&3着以内29頭。440～458キロも3着以内25頭だが、438キロ以下は3着以内10頭。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,結論,「牝馬は格より状態」と言われる通り、前走順別では1～3着馬が圧倒。4着以下を引き離している。前走で0.5秒差以内の敗戦馬は[18・16・16・144]と巻き返しており、0.6秒以上の敗戦馬は軽視。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,結論,前走着順別では1～3着馬が圧倒。4着以下を引き離している。前走で0.5秒差以内の敗戦馬は[18・16・16・144]と巻き返しており、0.6秒以上の敗戦馬は軽視。,2026-06-20_19-19-02.pdf
エリザベス女王杯,買い,結論,過去10年の種牡馬別ではダービー連対馬の産駒が好調。ただしロードカナロア、ルーラーシップ、ドゥラメンテを加えたキンカメ系の合計は[2・0・0・18]。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,結論,関東馬21勝、関西馬6勝と関西馬が優位だが、15頭出走の友道厩舎は優勢無し。上位人気[0・1・1・2]。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,結論,過去29年の馬体重別では460～478キロが14勝&3着以内29頭。440～458キロも3着以内25頭だが、438キロ以下は3着以内10頭。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,結論,「牝馬は格より状態」と言われる通り、前走順別では1～3着馬が圧倒。4着以下を引き離している。前走で0.5秒差以内の敗戦馬は[18・16・16・144]と巻き返しており、0.6秒以上の敗戦馬は軽視。,2026-06-20_19-19-02.pdf
エリザベス女王杯,消し,結論,前走着順別では1～3着馬が圧倒。4着以下を引き離している。前走で0.5秒差以内の敗戦馬は[18・16・16・144]と巻き返しており、0.6秒以上の敗戦馬は軽視,2026-06-20_19-19-02.pdf
マイルチャンピオンシップ,買い,前走着順 1～3着に注目,過去10年で前走1～3着が9勝、過去39年でも前走4着以下は好走率が低い。,2026-06-20_19-19-12.pdf
マイルチャンピオンシップ,消し,種牡馬別成績,ディープインパクトが3勝&3着以内7頭、ハービンジャー産駒が6歳。,2026-06-20_19-19-12.pdf
マイルチャンピオンシップ,消し,馬体重別成績,過去10年の馬体重別では480キロ以上は高好走率。478キロ以下は3着以内5頭のみで上位人気は6頭中好走2頭のみ。,2026-06-20_19-19-12.pdf
マイルチャンピオンシップ,消し,勤舎別成績,池江厩舎は通算18頭出走も過去10年で3着以内6頭、堀厩舎は通算で上位人気7頭が全滅。,2026-06-20_19-19-12.pdf
ジャパンカップ,買い,GI勝利数 単勝はGIウイナー,優勝10頭中8頭が、2着も5頭がG I優勝馬。G I未勝利馬2頭は前走京都大賞典3着以内。,2026-06-20_19-19-23.pdf
ジャパンカップ,買い,東西別 压倒的な関西馬,関西は矢作・友道・藤原英・池江が2回以上好走で7勝。関東馬勝利はアーモンドアイ（2勝）とイクノックス。,2026-06-20_19-19-23.pdf
ジャパンカップ,買い,前走着順 1着馬が3着以内14頭,前走1着馬は6勝&3着以内14頭。対して2着馬は21頭中連対2頭のみ。,2026-06-20_19-19-23.pdf
ジャパンカップ,消し,年齢別成績（過去39年）,過去39年中36頭の優勝馬が3～5歳。[3～5歳]と「6歳以上」の好走率に大きな隔たりがあり、上位人気4頭凡走の6歳以上は「気になった人気薄」をヒモに。,2026-06-20_19-19-23.pdf
ジャパンカップ,消し,枠番 優勝1頭の5枠,枠番では1～4枠が39年中24勝。2着数最多8頭の5枠だが優勝馬は1頭のみ。また上位人気をみると1～4枠[8・4・5・4]に対し5～8枠[0・1・1・7]で外枠は危険。,2026-06-20_19-19-23.pdf
ジャパンカップ,消し,前走クラス 3着以内皆無のGⅢ以下,前走クラスではG Iが7勝&21頭、G IIが3勝&同9頭でG III以下は3着以内皆無。また前走G II出走馬のレース別成績では京都大賞典が3勝、神戸新聞杯組は2頭とも好走。,2026-06-20_19-19-23.pdf
ジャパンカップ,消し,池江&堀厩舎の上位人気馬,ミッキークイーン（池江）は3番人気8着。ラブリーデイ（池江）は1番人気3着。,2026-06-20_19-19-23.pdf
ジャパンカップ,消し,5～8枠の上位人気馬,ゴールドシップ（6枠）は2番人気10着。サトノクラウン（堀）は3番人気10着。,2026-06-20_19-19-23.pdf
チャンピオンズカップ,買い,馬体重 好調の500キロ以上,500キロ以上は過去25年中16年で1着、25年中21年で1頭が3着以内に好走。過去25年の上位人気をみると500キロ以上は[11・4・6・29]と高好走率。,2026-06-20_19-19-34.pdf
チャンピオンズカップ,買い,リビーター 前年上位馬に要注意,ジャパンCダートを含めた25年中14年で「過去の3着以内馬=リビーター」が好走。右記以外でも第1回優勝馬ウイングアローが翌年2着、アドマイヤドンは3年連続2着以内。,2026-06-20_19-19-34.pdf
チャンピオンズカップ,買い,年齢 好走率高い3歳馬,3歳は18頭出走で3着以内6頭、複勝率は33%。3着以内最多は6歳で8頭。また7歳以上は25頭出走も3着以内3頭のみで狙うならヒモが妥当。,2026-06-20_19-19-34.pdf
チャンピオンズカップ,消し,単勝オッズ 2着1頭の5～7倍未満,単勝5～7倍未満は過去10年で8頭が出走も24年ウィルソンテソーロが2着したのみで7頭が馬券圏外。GⅠ11勝を飾ったコバノリッキーも前走5着からこのレースに出走、ルメール騎乗で13着。,2026-06-20_19-19-34.pdf
チャンピオンズカップ,消し,前走競馬場 連対皆無の中山&阪神,前走競馬場では交流GⅠが行われる地方競馬場が断然。25年連続で1頭が好走。東京出走馬も5勝を挙げており、京都も3着以内12頭だが、阪神と中山は連対皆無。間隔が開く場所でもあり危険。,2026-06-20_19-19-34.pdf
チャンピオンズカップ,消し,枠番 危険な8枠,8枠は過去10年でレモンポップが勝ったのみ、過去25年でも3着以内数は3頭と枠番別で最少。過去10年で1～4枠が6勝&3着以内21頭、6勝を挙げた3枠が3着以内数も16頭と最多。,2026-06-20_19-19-34.pdf
チャンピオンズカップ,消し,7&8枠の 上位人気馬,ホッコータルマエ、ゴールドドリーム、サウンドトゥルー、テイエムジンソク、クリオベルリ、チュウウイザード、セラフィックコール、レモンポップが7&8枠の上位人気馬。,2026-06-20_19-19-34.pdf
チャンピオンズカップ,消し,4歳の上位人気馬,ケイティプレイブ、サンライズソア、クリオベルリ、テーオーケインズ、グロリアムディ、クラウンプライドが4歳の上位人気馬。,2026-06-20_19-19-34.pdf
阪神ジュベナイルフィリーズ,買い,1着,7 - 8 - 4 - 74,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,2着,3 - 0 - 4 - 26,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,3着,0 - 1 - 1 - 8,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,4着,0 - 0 - 0 - 8,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,5着,0 - 1 - 0 - 7,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,6着以下,0 - 0 - 1 - 25,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,1戦,0 - 1 - 0 - 10,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,2戦,6 - 4 - 3 - 40,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,3戦,4 - 4 - 6 - 51,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,4戦,0 - 1 - 29,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,5戦以上,0 - 0 - 0 - 18,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,2戦2勝馬,4 - 4 - 1 - 15,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,3戦3勝馬,1 - 0 - 0 - 2,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,ダイワメジャー,3 - 0 - 1 - 10,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,エピファネイア,1 - 1 - 0 - 4,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,買い,オルフェーヴル,1 - 0 - 0 - 4,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,馬体重 460キロ以上が10勝,優勝10頭とも460キロ以上、458キロ以下是単勝禁物。馬体重10キロ以上増馬は6頭全減、10キロ以上減馬は3着以内5頭。上位人気で危険は馬体重増減±10キロ以上と440キロ以下。,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,枠番 危険な5&8枠の上位人気,8枠は過去10年で2着1頭のみ、上位人気は7頭中6頭凡走。5&6枠は3着以内6頭ずつだが5枠の上位人気は7頭中2着1頭。内枠の上位人気[4・2・1・4]に対し外枠は[2・2・1・14]。,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,生まれ月 低好走率の4&5月,生まれ月でみると過去34年で最多13勝（3着以内33頭）の4月生まれだが、過去10年ではわずか1勝（3着以内4頭）。2&3月生まれが4勝ずつで、近年は早生まれが妙味。5月生まれは未勝利。,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,15年,デンコウアンジュ（446キロ）2番人気7着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,19年,クラヴァシュドール（452キロ）3番人気3着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,20年,メイケイエール（458キロ）3番人気4着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,23年,サフィラ（442キロ）1番人気4着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,24年,コートアリシアン（442キロ）3番人気6着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,15年,デンコウアンジュ（446キロ）2番人気7着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,16年,リスグラシュー（452キロ）2番人気2着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,17年,ロックディスタウン（458キロ）1番人気9着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,19年,リアアメリカ（442キロ）3番人気6着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,20年,メイケイエール（458キロ）3番人気4着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,21年,ナミュール（442キロ）1番人気4着,2026-06-20_19-19-46.pdf
阪神ジュベナイルフィリーズ,消し,22年,ウンブライル（442キロ）3番人気15着,2026-06-20_19-19-46.pdf
朝日杯フューチュリティステークス,買い,前走着順 1着馬が圧倒的,過去10年の優勝馬全頭が前走1着、3着以内に30頭中25頭が該当。過去39年でも34頭が前走1着馬。,2026-06-20_19-20-00.pdf
朝日杯フューチュリティステークス,買い,前走着差 単勝危険な同タイム2着馬,前走で優勝馬と同タイムで敗れた2着馬は過去39年で[0・1・2・15]と優勝皆無。このうち上位人気は[0・1・1・4]。,2026-06-20_19-20-00.pdf
朝日杯フューチュリティステークス,買い,生まれ月 低調の5月以降,2歳戦で重要な生まれ月。2月生まれが4勝&3着以内12頭、3月生まれも好調、1月生まれは過去10年で複勝率50%。過去39年では4月生まれが12勝、3月生まれも3着以内39頭。5月以降は低調。,2026-06-20_19-20-00.pdf
朝日杯フューチュリティステークス,消し,枠番やや不利な外枠,阪神開催10年では1枠が4勝&2着2頭と断然。3～5枠も3着以内数は高いが1勝ずつ。,2026-06-20_19-20-00.pdf
朝日杯フューチュリティステークス,消し,前走着差 単勝危険な同タイム2着馬,前走で優勝馬と同タイムで敗れた2着馬は過去39年で[0・1・2・15]と優勝皆無。このうち上位人気は[0・1・1・4]。,2026-06-20_19-20-00.pdf
朝日杯フューチュリティステークス,消し,生まれ月 低調の5月以降,2歳戦で重要な生まれ月。2月生まれが4勝&3着以内12頭、3月生まれも好調、1月生まれは過去10年で複勝率50%。過去39年では4月生まれが12勝、3月生まれも3着以内39頭。5月以降は低調。,2026-06-20_19-20-00.pdf
ホーフフルステークス,買い,前走着順,断然優位の1着馬,2026-06-20_19-20-13.pdf
ホーフフルステークス,買い,生産者別成績,毎年好走のノーザンファーム,2026-06-20_19-20-13.pdf
ホーフフルステークス,消し,枠番別成績,オープン時代を含めた枠番別成績をみると8枠は38年間未勝利。,2026-06-20_19-20-13.pdf
ホーフフルステークス,消し,厩舎別成績,危険な2厩舎,2026-06-20_19-20-13.pdf
ホーフフルステークス,消し,前走クラス別成績,重賞&リステッドを重視,2026-06-20_19-20-13.pdf
有馬記念,買い,*結論,過去39年でも33頭がGIウイナー。,2026-06-20_19-20-26.pdf
有馬記念,買い,*結論,前年や2年前に好走した馬の再激走=リピーターの多いレースで、過去10年で5頭、過去20年で9頭が2回以上激走。,2026-06-20_19-20-26.pdf
有馬記念,買い,*結論,ロードカナロアは5頭中2着1頭、オルフェは6頭全滅。,2026-06-20_19-20-26.pdf
有馬記念,消し,*結論,過去39年で8枠の複勝率はダントツに低い。スタート後のコーナーで遅れるためだ。,2026-06-20_19-20-26.pdf
有馬記念,消し,*結論,過去10年の上位人気30頭中、GI未勝利馬は6頭おり3着以内は18年ブラストワンピースのみ。,2026-06-20_19-20-26.pdf
有馬記念,消し,*結論,馬体重別では480～498キロが11勝&3着以内35頭、このゾーンは人気薄的好走も目立つ。,2026-06-20_19-20-26.pdf
中山金杯,買い,内枠が圧倒的,過去10年で1～4枠8勝15連対、5～8枠2勝5連対と内枠が圧倒的。過去40年でも内枠26勝47連対、外枠14勝33連対。,2026-06-20_19-23-43.pdf
中山金杯,消し,前走,前走菊花賞&天皇賞組前走菊花賞出走馬は7頭中3着1頭のみ。7頭中6頭が上位人気。また前走GⅠ戦出走の上位人気馬は[1・0・1・9]。,2026-06-20_19-23-43.pdf
中山金杯,消し,種牡馬,危険なハーツ&ディープ産駒ハーツクライ産駒は[1・1・1・11]、上位人気は[1・0・0・5]。またディープ産駒は出走13頭とも4着以下。,2026-06-20_19-23-43.pdf
京都金杯,買い,枠番,高実績の内枠（1～4枠）で勝率が高くなる傾向がある。,2026-06-20_19-23-49.pdf
京都金杯,消し,人気,2番人気は未勝利馬が多い。,2026-06-20_19-23-49.pdf
フェアリーステークス,買い,キャリア別成績,2戦馬が驚異の6勝。キャリア2戦馬が6勝マーク。,2026-06-20_19-23-53.pdf
フェアリーステークス,消し,種牡馬,不振のルーラーシップ,2026-06-20_19-23-53.pdf
シンザン記念,買い,前走距離,高実績の1600m,2026-06-20_19-24-00.pdf
シンザン記念,消し,种牡馬,ロードカナロア [2・0・0・5],2026-06-20_19-24-00.pdf
京成杯,買い,キャリア別成績,過去10年のキャリア別成績は、1戦と3戦が4勝ずつ。3着以内数も30頭中25頭が3戦以内。,2026-06-20_19-24-04.pdf
京成杯,消し,場所別成績,8頭全滅の堀厩舎,2026-06-20_19-24-04.pdf
日経新春杯,買い,優勝馬の各実績,16頭中、5頭が1着、2頭が2着、3頭が3着以内に収まっている。,2026-06-20_19-24-09.pdf
日経新春杯,買い,武豊騎手騎乗馬の成績,武豊騎手は4頭中、1頭が3着以内に入っている。,2026-06-20_19-24-09.pdf
日経新春杯,消し,ハンデ,3着以内に3頭のみ,2026-06-20_19-24-09.pdf
日経新春杯,消し,未勝利のマイナス馬,馬体重の前走比ではプラス馬が8勝、マイナス馬は未勝利。2 & 3着は8頭いるが、単勝は危険。,2026-06-20_19-24-09.pdf
小倉牝馬ステークス,買い,年齢,4&5歳馬が好走,2026-06-20_19-24-15.pdf
小倉牝馬ステークス,買い,前走から斤量減の好走馬,過去10年中9頭で斤量減馬が1頭好走。,2026-06-20_19-24-15.pdf
小倉牝馬ステークス,消し,廃舎,6頭全滅の「牝馬の高野」,2026-06-20_19-24-15.pdf
小倉牝馬ステークス,消し,馬体重,危険な480キロ以上の人気馬,2026-06-20_19-24-15.pdf
アメリカジョッキークラブカップ,買い,年齢,4歳、人気薄6歳,2026-06-20_19-24-20.pdf
アメリカジョッキークラブカップ,消し,優勝歴ある上位人気,上位人気30頭中12頭に中山重賞勝利があったが、3着以内は4頭のみ。,2026-06-20_19-24-20.pdf
プロキオンステークス,買い,枠番,4枠が4勝マーク,2026-06-20_19-24-26.pdf
プロキオンステークス,消し,種牡馬,単勝危険なキンカメ産駒,2026-06-20_19-24-26.pdf
第40回 根岸ステークス,買い,結論,差し馬が23勝,2026-06-20_19-24-30.pdf
第40回 根岸ステークス,消し,結論,低好走率の1枠,2026-06-20_19-24-30.pdf
シルクロードステークス,買い,枠番,好調の1&2枠,2026-06-20_19-24-35.pdf
シルクロードステークス,消し,単勝人気,1勝のみの1番人気,2026-06-20_19-24-35.pdf
東京新聞杯,買い,内枠優位な一戦,過去10年で1～4枠7勝14連対、5～8枠3勝6連対。,2026-06-20_19-24-39.pdf
東京新聞杯,消し,血統,凡走続くキンカメ系,2026-06-20_19-24-39.pdf
きさらぎ賞,買い,前走距離,高実績の2000m,2026-06-20_19-24-44.pdf
きさらぎ賞,消し,騎手,上位人気凡走の松山,2026-06-20_19-24-44.pdf
きさらぎ賞,消し,枠番,凡走続きの5&6枠,2026-06-20_19-24-44.pdf
クイーンカップ,買い,生産者,全10勝がNファーム生産馬,2026-06-20_19-24-50.pdf
クイーンカップ,買い,優勝馬の各実績,メジャーエンブレム、アドマイヤミヤビなど,2026-06-20_19-24-50.pdf
クイーンカップ,消し,危険な2戦の上位人気,キャリア3戦 [4・4・3・22]、4戦 [3・2・4・22] だが2戦の上位人気は [1・0・0・3],2026-06-20_19-24-50.pdf
